IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1730.0 0.323241 0.150055 0.074558 0.038532 0.020407 0.010983 0.005976 0.003277 0.001807 0.001001 0.000556 0.000310
1731.0 0.323538 0.150066 0.074510 0.038482 0.020369 0.010956 0.005958 0.003266 0.001800 0.000996 0.000553 0.000308
1732.0 0.323836 0.150077 0.074462 0.038433 0.020330 0.010929 0.005940 0.003254 0.001793 0.000992 0.000550 0.000306
1733.0 0.324135 0.150089 0.074414 0.038383 0.020292 0.010902 0.005922 0.003243 0.001785 0.000987 0.000548 0.000304
1734.0 0.324436 0.150101 0.074367 0.038334 0.020253 0.010875 0.005905 0.003231 0.001778 0.000983 0.000545 0.000303
1735.0 0.324738 0.150114 0.074319 0.038285 0.020215 0.010848 0.005887 0.003220 0.001771 0.000978 0.000542 0.000301
1736.0 0.325042 0.150127 0.074272 0.038235 0.020177 0.010822 0.005869 0.003208 0.001764 0.000974 0.000539 0.000299
1737.0 0.325346 0.150140 0.074225 0.038187 0.020139 0.010795 0.005851 0.003197 0.001756 0.000969 0.000536 0.000298
1738.0 0.325653 0.150154 0.074179 0.038138 0.020101 0.010769 0.005834 0.003185 0.001749 0.000965 0.000534 0.000296
1739.0 0.325960 0.150168 0.074132 0.038089 0.020063 0.010742 0.005816 0.003174 0.001742 0.000960 0.000531 0.000294
1740.0 0.326269 0.150182 0.074085 0.038040 0.020025 0.010716 0.005799 0.003163 0.001735 0.000956 0.000528 0.000293
1741.0 0.326580 0.150197 0.074039 0.037992 0.019988 0.010690 0.005781 0.003152 0.001728 0.000951 0.000526 0.000291
1742.0 0.326892 0.150213 0.073993 0.037944 0.019950 0.010663 0.005764 0.003140 0.001721 0.000947 0.000523 0.000289
1743.0 0.327205 0.150229 0.073948 0.037896 0.019913 0.010637 0.005747 0.003129 0.001714 0.000943 0.000520 0.000288
1744.0 0.327519 0.150245 0.073902 0.037848 0.019876 0.010611 0.005729 0.003118 0.001707 0.000938 0.000518 0.000286
1745.0 0.327835 0.150262 0.073857 0.037800 0.019839 0.010585 0.005712 0.003107 0.001700 0.000934 0.000515 0.000285
1746.0 0.328153 0.150279 0.073812 0.037752 0.019802 0.010559 0.005695 0.003096 0.001693 0.000930 0.000512 0.000283
1747.0 0.328472 0.150296 0.073767 0.037704 0.019765 0.010534 0.005678 0.003085 0.001686 0.000925 0.000510 0.000281
1748.0 0.328792 0.150314 0.073722 0.037657 0.019728 0.010508 0.005661 0.003074 0.001679 0.000921 0.000507 0.000280
1749.0 0.329114 0.150333 0.073677 0.037610 0.019691 0.010482 0.005644 0.003063 0.001672 0.000917 0.000504 0.000278
1750.0 0.329437 0.150351 0.073633 0.037563 0.019654 0.010457 0.005627 0.003052 0.001666 0.000913 0.000502 0.000277
1751.0 0.329761 0.150371 0.073589 0.037515 0.019618 0.010431 0.005610 0.003042 0.001659 0.000909 0.000499 0.000275
1752.0 0.330087 0.150390 0.073545 0.037469 0.019581 0.010406 0.005593 0.003031 0.001652 0.000904 0.000497 0.000274
1753.0 0.330415 0.150410 0.073501 0.037422 0.019545 0.010380 0.005577 0.003020 0.001645 0.000900 0.000494 0.000272
1754.0 0.330744 0.150431 0.073458 0.037375 0.019509 0.010355 0.005560 0.003010 0.001639 0.000896 0.000492 0.000270
1755.0 0.331074 0.150452 0.073414 0.037329 0.019473 0.010330 0.005543 0.002999 0.001632 0.000892 0.000489 0.000269
1756.0 0.331406 0.150473 0.073371 0.037282 0.019437 0.010305 0.005527 0.002988 0.001625 0.000888 0.000487 0.000267
1757.0 0.331739 0.150495 0.073328 0.037236 0.019401 0.010280 0.005510 0.002978 0.001619 0.000884 0.000484 0.000266
1758.0 0.332074 0.150517 0.073285 0.037190 0.019365 0.010255 0.005494 0.002967 0.001612 0.000880 0.000482 0.000264
1759.0 0.332410 0.150539 0.073243 0.037144 0.019329 0.010230 0.005477 0.002957 0.001606 0.000876 0.000479 0.000263
1760.0 0.332747 0.150562 0.073201 0.037098 0.019293 0.010205 0.005461 0.002946 0.001599 0.000872 0.000477 0.000261
1761.0 0.333087 0.150586 0.073158 0.037052 0.019258 0.010181 0.005445 0.002936 0.001593 0.000868 0.000474 0.000260
1762.0 0.333427 0.150610 0.073117 0.037007 0.019222 0.010156 0.005429 0.002926 0.001586 0.000864 0.000472 0.000259
1763.0 0.333769 0.150634 0.073075 0.036961 0.019187 0.010131 0.005412 0.002915 0.001580 0.000860 0.000470 0.000257
1764.0 0.334113 0.150659 0.073033 0.036916 0.019152 0.010107 0.005396 0.002905 0.001573 0.000856 0.000467 0.000256
1765.0 0.334458 0.150684 0.072992 0.036871 0.019117 0.010083 0.005380 0.002895 0.001567 0.000852 0.000465 0.000254
1766.0 0.334804 0.150709 0.072951 0.036826 0.019082 0.010058 0.005364 0.002885 0.001561 0.000848 0.000462 0.000253
1767.0 0.335153 0.150735 0.072910 0.036781 0.019047 0.010034 0.005348 0.002875 0.001554 0.000844 0.000460 0.000251
1768.0 0.335502 0.150762 0.072869 0.036736 0.019012 0.010010 0.005332 0.002864 0.001548 0.000840 0.000458 0.000250
1769.0 0.335853 0.150789 0.072828 0.036691 0.018977 0.009986 0.005317 0.002854 0.001542 0.000836 0.000455 0.000249
1770.0 0.336206 0.150816 0.072788 0.036647 0.018942 0.009962 0.005301 0.002844 0.001535 0.000833 0.000453 0.000247
1771.0 0.336560 0.150844 0.072748 0.036603 0.018908 0.009938 0.005285 0.002834 0.001529 0.000829 0.000451 0.000246
1772.0 0.336915 0.150872 0.072708 0.036558 0.018873 0.009914 0.005269 0.002824 0.001523 0.000825 0.000448 0.000244
1773.0 0.337273 0.150900 0.072668 0.036514 0.018839 0.009890 0.005254 0.002814 0.001517 0.000821 0.000446 0.000243
1774.0 0.337631 0.150929 0.072628 0.036470 0.018805 0.009866 0.005238 0.002805 0.001511 0.000817 0.000444 0.000242
1775.0 0.337992 0.150959 0.072589 0.036426 0.018771 0.009842 0.005223 0.002795 0.001505 0.000814 0.000442 0.000240
1776.0 0.338354 0.150989 0.072550 0.036382 0.018737 0.009819 0.005207 0.002785 0.001499 0.000810 0.000439 0.000239
