# MJD calibrated_mag calibrated_mag_err exptime_days limiting_mag zeropoint_correction
51643.14026541 13.218336 0.067242 0.00185185 15.074430 -0.115111
51643.14246712 13.271577 0.063524 0.00185185 15.159293 -0.056487
51643.14466987 13.254354 0.022646 0.00185185 15.821712 -0.000729
51643.14686973 13.189927 0.021244 0.00185185 15.833266 -0.033862
51643.14907132 13.183069 0.022703 0.00185185 15.784256 -0.007970
51643.15127245 13.232438 0.023200 0.00185185 15.782259 -0.004973
51643.15347347 13.258302 0.022588 0.00185185 15.781381 -0.001984
51643.15567505 13.246411 0.021112 0.00185185 15.834183 -0.001325
51643.15787722 13.227137 0.021761 0.00185185 15.773317 0.008502
51643.16007777 13.297999 0.027776 0.00185185 15.640444 0.018720
51643.16227937 13.237379 0.028581 0.00185185 15.592116 -0.006780
51643.16448095 13.250420 0.024639 0.00185185 15.668141 0.014985
51643.16888483 13.278775 0.023550 0.00185185 15.742179 0.032363
51643.17108585 13.256730 0.022183 0.00185185 15.776442 0.014011
51643.17328743 13.239072 0.020654 0.00185185 15.849880 0.009300
51643.17548903 13.216608 0.020901 0.00185185 15.859845 -0.010303
51643.17769016 13.254803 0.020453 0.00185185 15.885446 0.000075
51643.17989174 13.261786 0.020939 0.00185185 15.864504 0.020600
51643.18209217 13.224664 0.019722 0.00185185 15.898926 0.015702
51643.18429492 13.282901 0.020877 0.00185185 15.848044 0.037087
51643.18649721 13.216940 0.019546 0.00185185 15.936380 -0.002853
51643.18869822 13.256977 0.021066 0.00185185 15.886702 -0.003559
51643.19413201 13.297459 0.020079 0.00185185 15.951042 0.015404
51643.19633360 13.226627 0.023633 0.00185185 15.658857 -0.006202
51643.19853403 13.245267 0.021795 0.00185185 15.790682 0.010432
51643.20073516 13.236173 0.020911 0.00185185 15.946824 0.011297
51643.20293674 13.266329 0.021857 0.00185185 15.883162 -0.004320
51643.20513835 13.234549 0.019782 0.00185185 15.927600 -0.006407
51643.20733993 13.193754 0.020198 0.00185185 15.864305 -0.017323
51643.20954210 13.243623 0.018986 0.00185185 15.995443 -0.001353
51643.21174495 13.280302 0.019718 0.00185185 15.983040 0.015408
51643.21394481 13.223423 0.020334 0.00185185 15.956564 -0.006415
51643.21614640 13.254763 0.021385 0.00185185 15.921360 0.020838
51643.21834812 13.243323 0.019255 0.00185185 15.934635 0.005655
51643.22054855 13.238230 0.020130 0.00185185 15.942284 0.003540
51643.22275013 13.190931 0.021873 0.00185185 15.836826 -0.009146
51643.22495171 13.196573 0.021018 0.00185185 15.867786 -0.011774
51643.22715226 13.261858 0.022152 0.00185185 15.840738 -0.019707
51643.22935328 13.272914 0.023249 0.00185185 15.818520 -0.000160
51643.23155486 13.236991 0.021255 0.00185185 15.871559 0.003006
51643.23375588 13.198463 0.021015 0.00185185 15.865465 -0.012101
51643.23596047 13.264569 0.022661 0.00185185 15.877335 0.012839
51643.23816264 13.206259 0.021608 0.00185185 15.864127 -0.007851
51643.24036307 13.244086 0.022014 0.00185185 15.861027 0.010000
51643.24578007 13.272553 0.020844 0.00185185 15.919041 -0.000491
51643.24798109 13.287869 0.022400 0.00185185 15.859184 0.002595
51643.25018453 13.264917 0.020960 0.00185185 15.906876 0.011436
51643.25238555 13.268978 0.021735 0.00185185 15.897271 0.005462
51643.25458654 13.257808 0.021912 0.00185185 15.868906 -0.001040
51643.25678989 13.259881 0.023055 0.00185185 15.851944 0.016953
51643.25899100 13.229784 0.022474 0.00185185 15.854694 0.013911
51643.26119260 13.270883 0.023469 0.00185185 15.839011 0.009130
51643.26339419 13.264306 0.023958 0.00185185 15.805686 0.006141
51643.26559462 13.231112 0.022090 0.00185185 15.836268 0.005532
51643.26779631 13.256450 0.024006 0.00185185 15.751944 0.010030
51643.26999792 13.266377 0.030494 0.00185185 15.551073 0.010219
51643.27219950 13.263142 0.031885 0.00185185 15.486682 0.020412
51643.27440063 13.228888 0.031889 0.00185185 15.467062 0.004977
51643.27660107 13.259249 0.028070 0.00185185 15.591136 0.028467
51643.27880324 13.218551 0.026475 0.00185185 15.657332 0.003127
51643.28100367 13.232314 0.024910 0.00185185 15.757565 0.012242
51643.28320539 13.237405 0.022181 0.00185185 15.834416 -0.003508
51643.28540697 13.264225 0.024026 0.00185185 15.781814 0.018680
51643.28760799 13.353464 0.031473 0.00185185 15.589986 -0.003405
51643.28980901 13.267293 0.031256 0.00185185 15.541416 -0.005022
51643.29201072 13.241116 0.032880 0.00185185 15.459867 0.005413
51643.29421219 13.234910 0.029235 0.00185185 15.567287 -0.000807
51643.29966114 13.278217 0.031929 0.00185185 15.584791 -0.012929
51643.30186272 13.284323 0.030260 0.00185185 15.506994 -0.000017
51643.30406490 13.247000 0.027715 0.00185185 15.592421 0.009320
51643.30626648 13.247149 0.027445 0.00185185 15.591166 -0.006901
51643.30846820 13.224054 0.026724 0.00185185 15.607864 0.008680
51643.31066978 13.236029 0.030298 0.00185185 15.535966 -0.004808
51643.31287078 13.209878 0.028673 0.00185185 15.601030 -0.011066
51643.31507250 13.271243 0.028527 0.00185185 15.608232 0.026005
51643.31727349 13.267660 0.026822 0.00185185 15.666720 -0.013503
51643.31947451 13.297062 0.027142 0.00185185 15.677047 -0.003225
51643.32167783 13.222676 0.026151 0.00185185 15.665551 -0.006399
51643.32387896 13.228050 0.023726 0.00185185 15.720577 -0.004084
51643.32607998 13.268563 0.022879 0.00185185 15.798702 0.006966
51643.32828100 13.246069 0.024241 0.00185185 15.747673 -0.001942
51643.33048326 13.227306 0.026294 0.00185185 15.656625 0.001752
51643.33268428 13.216719 0.025033 0.00185185 15.696539 -0.002030
51643.33488586 13.294490 0.024693 0.00185185 15.743501 0.009581
51643.33708747 13.250506 0.024114 0.00185185 15.779587 -0.007824
51643.33928745 13.224331 0.023436 0.00185185 15.734174 0.018426
51643.34148903 13.275305 0.025368 0.00185185 15.680573 0.026137
51643.34369120 13.245682 0.026592 0.00185185 15.673107 -0.006050
51643.34589290 13.249998 0.024868 0.00185185 15.675593 -0.002213
51643.35138444 13.241205 0.029364 0.00185185 15.552332 -0.008065
51643.35358613 13.213044 0.026617 0.00185185 15.639502 -0.003133
51643.35578772 13.231173 0.027763 0.00185185 15.627174 0.007176
51643.35798932 13.274384 0.030823 0.00185185 15.562069 -0.003901
51643.36019032 13.255817 0.037806 0.00185185 15.417007 -0.022737
51643.36239204 13.201927 0.044663 0.00185185 15.150707 -0.050281
51643.36459362 13.238201 0.030334 0.00185185 15.508211 -0.003791
51643.36679475 13.264672 0.030291 0.00185185 15.545254 0.000033
51643.36899622 13.236087 0.026867 0.00185185 15.586800 -0.011710
51643.37119792 13.285416 0.028127 0.00185185 15.641781 0.000313
51643.37339894 13.229419 0.025291 0.00185185 15.670753 0.013736
51643.37560052 13.204118 0.027685 0.00185185 15.615208 -0.016062
51643.37780224 13.236337 0.025495 0.00185185 15.706358 -0.012675
51643.39981662 13.249365 0.022056 0.00185185 15.805328 0.001985
51643.40534125 13.271950 0.023509 0.00185185 15.754435 -0.009353
51643.40754227 13.280289 0.027159 0.00185185 15.698012 0.002795
51643.40974397 13.243382 0.024560 0.00185185 15.705042 -0.000528
51643.41194616 13.228362 0.024141 0.00185185 15.757268 0.009130
51643.41414659 13.271049 0.023487 0.00185185 15.763777 0.021262
51643.41634829 13.211299 0.021523 0.00185185 15.800638 -0.009460
51643.41854990 13.220051 0.022110 0.00185185 15.757982 0.007217
51643.42075091 13.252927 0.024139 0.00185185 15.707900 -0.000256
51643.42295202 13.221669 0.024235 0.00185185 15.678005 -0.009530
51643.42515304 13.278662 0.022922 0.00185185 15.730411 0.013433
51643.46153044 13.299144 0.036256 0.00185185 15.359852 0.003735
51643.46373205 13.241370 0.035092 0.00185185 15.443587 -0.029633
51643.46593361 13.376441 0.037410 0.00185185 15.418080 -0.029143
51643.46813418 13.273003 0.030815 0.00185185 15.469340 0.017000
51643.47033587 13.219573 0.035574 0.00185185 15.373753 -0.007650
51643.47253676 13.264218 0.039883 0.00185185 15.293283 -0.028865
51643.47473732 13.209983 0.038948 0.00185185 15.295042 0.004342
51643.47693947 13.204783 0.035070 0.00185185 15.355949 0.014023
51643.47914108 13.297033 0.047175 0.00185185 15.232715 0.002431
51643.48134210 13.211547 0.051399 0.00185185 15.105269 -0.000785
51643.48354379 13.233889 0.041788 0.00185185 15.233170 -0.035406
51643.48574535 13.241815 0.042508 0.00185185 15.205513 -0.022546
51643.48794524 13.218058 0.042259 0.00185185 15.078796 -0.007219
